id,number,from,to,date,time,price,seats_total,seats_booked
1,SU100,Москва,Санкт-Петербург,10.06.2025,10:00,3500,180,50
2,SU102,Москва,Сочи,11.06.2025,14:00,5000,150,20
3,S7200,Новосибирск,Москва,12.06.2025,08:30,12000,160,100
4,SU103,Сочи,Москва,21.12.2025,09:00,4500,180,0
5,SU104,Москва,Казань,15.06.2025,12:00,3000,120,30
6,SU105,Санкт-Петербург,Сочи,20.06.2025,16:30,6000,150,45
7,S7201,Екатеринбург,Москва,25.06.2025,07:00,8000,140,60
8,SU106,Москва,Владивосток,01.07.2025,23:00,25000,200,80
9,DP301,Краснодар,Москва,18.06.2025,11:00,4000,130,25
10,SU107,Сочи,Санкт-Петербург,22.12.2025,14:00,5500,160,10
